region,lat,lng
Akita-ken Kazuno-shi,40.2157715,140.7885015
Akita-ken Yurihonjo-shi,39.38584720000001,140.048885
Akita-ken Katagami-shi,39.8572515,140.0130355
Akita-ken Daisen-shi,39.453276,140.4754971
Akita-ken Kitaakita-shi,40.2260484,140.370846
Akita-ken Nikaho-shi,39.2030128,139.9077246
Akita-ken Semboku-shi,39.70005570000001,140.7306706
Akita-ken Kosaka-machi,40.3330883,140.7360745
Akita-ken Kamikoani-mura,40.0637814,140.2962805
Akita-ken Fujisato-machi,40.2784306,140.2618084
Akita-ken Mitane-cho,40.1015687,140.0049679
Akita-ken Happou-cho,40.3187181,140.0385939
Akita-ken Gojome-machi,39.9438973,140.1115349
Akita-ken Hachirogata-machi,39.9493588,140.0733624
Akita-ken Ikawa-machi,39.9141724,140.0813114
Akita-ken Ogata-mura,40.0183158,139.9605374
Akita-ken Misato-cho,39.4615423,140.5820818
Akita-ken Ugo-machi,39.1996962,140.4122967
Akita-ken Higashinaruse-mura,39.1791874,140.6490765
Yamagata-ken Yamagata-shi,38.2554153,140.3396175
Yamagata-ken Yonezawa-shi,37.9223201,140.1167445
Yamagata-ken Tsuruoka-shi,38.7271972,139.8267422
Yamagata-ken Sakata-shi,38.9147809,139.8366436
Yamagata-ken Shinjo-shi,38.7650067,140.3016961
Yamagata-ken Sagae-shi,38.3805369,140.2763569
Yamagata-ken Kaminoyama-shi,38.1495569,140.267843
Yamagata-ken Murayama-shi,38.4833148,140.3803624
Yamagata-ken Nagai-shi,38.1074728,140.0405256
Yamagata-ken Tendo-shi,38.36199939999999,140.3770382
Yamagata-ken Higashine-shi,38.4313272,140.3909383
Yamagata-ken Obanazawa-shi,38.6006855,140.405699
Yamagata-ken Nanyo-shi,38.054728,140.1478765
Yamagata-ken Yamanobe-machi,38.2895456,140.2624204
Yamagata-ken Nakayama-machi,38.333152,140.2830195
Yamagata-ken Kahoku-cho,38.4263202,140.314356
Yamagata-ken Nishikawa-machi,38.4264893,140.1473672
Yamagata-ken Asahi-machi,38.2992619,140.1458935
Yamagata-ken Oe-machi,38.3807324,140.2068294
Yamagata-ken Oishida-machi,38.5938623,140.3725996
Yamagata-ken Kaneyama-machi,38.8833675,140.3393281
Yamagata-ken Mogami-machi,38.7585382,140.5193265
Yamagata-ken Funagata-machi,38.6913482,140.3198772
Yamagata-ken Mamurogawa-machi,38.85774790000001,140.252441
Yamagata-ken Okura-mura,38.7041339,140.2305113
Yamagata-ken Sakegawa-mura,38.79631270000001,140.2218524
Yamagata-ken Tozawa-mura,38.7376227,140.143702
